frame_index,player_id,side_state,x,y,projected_x,projected_y,source_track_id
120,player_b,near_side,1370.443,1738.225,66.526,843.909,player_1
120,player_a,far_side,2282.138,477.16,212.54,4.603,player_2
121,player_b,near_side,1370.451,1738.121,66.529,843.917,player_1
121,player_a,far_side,2282.313,477.141,212.594,4.412,player_2
122,player_b,near_side,1371.084,1737.419,66.587,843.686,player_1
122,player_a,far_side,2283.745,475.518,213.035,3.319,player_2
123,player_b,near_side,1373.052,1737.688,66.849,843.519,player_1
123,player_a,far_side,2284.059,475.044,213.148,2.14,player_2
124,player_a,far_side,2285.664,475.95,213.617,2.439,player_2
124,player_b,near_side,1376.71,1736.821,67.382,843.519,player_1
125,player_a,far_side,2285.449,474.538,213.586,0.539,player_2
125,player_b,near_side,1377.359,1736.502,67.49,843.611,player_1
126,player_a,far_side,2285.426,474.535,213.579,0.523,player_2
126,player_b,near_side,1377.334,1736.349,67.487,843.613,player_1
127,player_a,far_side,2281.884,472.401,212.557,-1.071,player_2
127,player_b,near_side,1377.849,1736.967,67.555,843.568,player_1
128,player_a,far_side,2281.849,472.399,212.546,-1.041,player_2
128,player_b,near_side,1377.96,1736.979,67.57,843.561,player_1
129,player_a,far_side,2277.418,473.235,211.114,6.699,player_2
129,player_b,near_side,1381.486,1737.565,68.067,843.439,player_1
130,player_a,far_side,2278.997,474.074,211.427,16.406,player_2
130,player_b,near_side,1382.679,1736.662,68.199,843.155,player_1
131,player_a,far_side,2278.985,473.988,211.423,16.429,player_2
131,player_b,near_side,1382.635,1736.603,68.19,843.136,player_1
132,player_a,far_side,2280.813,471.505,211.943,17.427,player_2
132,player_b,near_side,1382.421,1737.22,68.108,842.786,player_1
133,player_a,far_side,2280.921,471.509,211.972,17.585,player_2
133,player_b,near_side,1382.395,1737.073,68.102,842.772,player_1
134,player_a,far_side,2288.788,469.059,214.306,15.862,player_2
134,player_b,near_side,1388.322,1737.659,69.01,843.07,player_1
135,player_b,near_side,1390.438,1742.91,69.387,843.548,player_1
135,player_a,far_side,2290.701,467.469,214.854,16.585,player_2
136,player_b,near_side,1390.38,1742.766,69.383,843.581,player_1
136,player_a,far_side,2290.668,467.434,214.844,16.614,player_2
150,player_a,far_side,2299.122,464.875,217.295,17.931,player_2
150,player_b,near_side,1313.56,1735.509,58.169,843.481,player_1
165,player_a,far_side,2299.92,462.478,217.52,18.402,player_2
165,player_b,near_side,1347.282,1668.365,60.1,823.841,player_1
180,player_a,far_side,2294.878,468.398,216.045,18.337,player_2
180,player_b,near_side,1374.874,1660.942,63.807,821.034,player_1
