event_id,sequence_index,event_type,shot_type,start_frame,end_frame,contact_frame_estimate,resolved_frame,image_x,image_y,projected_x,projected_y,court_zone,depth,lateral_lane,event_position_status,event_position_source,event_position_confidence,detection_score,projection_status,position_trust,position_validation_status,sequence_validation_reason,should_render_as_physical_event,should_render_as_annotation,position_notes
manual_full_rally_001,1,hit,serve_topspin,100,100,100,100,1467.0,1461.0,58.884,677.512,near_deep_left,deep,left,resolved,local_ball_detection,high,0.7635,projected,invalid,implausible_serve_position,Serve contact projected to near side; expected far serving side for this manual rally.,no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_002,2,bounce,,153,154,154,154,1885.5,1176.0,124.352,533.67,near_mid_center,mid,center,resolved,local_ball_detection,high,0.7789,projected,suspicious,impossible_hit_bounce_transition,Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce.,no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_003,3,hit,forehand_flat,194,197,196,196,1575.0,1422.0,75.852,659.562,near_deep_left,deep,left,resolved,local_ball_detection,high,0.7892,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_004,4,bounce,,240,240,240,240,2304.0,711.0,215.342,185.237,far_mid_center,mid,center,resolved,local_ball_detection,high,0.7894,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_005,5,hit,forehand_slice,257,259,258,259,1427.167,1442.167,50.82,669.762,near_deep_left,deep,left,resolved,local_ball_detection,high,0.7524,projected,suspicious,wrong_side_likely,"Projected to near court side, but sequence expects far for this rally event.",no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_006,6,bounce,,328,328,328,328,2910.0,939.0,350.634,368.295,far_short_right,short,right,resolved,local_ball_detection,high,0.7743,projected,suspicious,wrong_side_likely,"Bounce projected to far court side, but sequence expects near.",no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_007,7,hit,forehand_topspin,362,363,362,362,2433.0,1437.0,228.718,658.27,near_deep_center,deep,center,resolved,local_ball_detection,high,0.8039,projected,suspicious,suspicious_transition,Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce.,no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_008,8,bounce,,418,418,418,418,2182.5,1608.0,184.271,730.644,near_deep_center,deep,center,resolved,local_ball_detection,high,0.7495,projected,suspicious,wrong_side_likely,"Bounce projected to near court side, but sequence expects far.",no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_009,9,hit,backhand_slice,463,463,463,463,2835.0,934.5,333.732,366.012,far_short_right,short,right,resolved,local_ball_detection,high,0.7712,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_010,10,bounce,,538,541,540,540,1944.0,1390.5,140.916,641.912,near_mid_center,mid,center,resolved,local_ball_detection,high,0.7886,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_011,11,hit,backhand_topspin,571,571,571,571,2079.0,1533.0,166.601,702.068,near_deep_center,deep,center,resolved,local_ball_detection,high,0.8011,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_012,12,bounce,,602,604,603,603,2301.0,708.0,214.61,182.386,far_mid_center,mid,center,resolved,local_ball_detection,high,0.7593,projected,valid,local_detection_sequence_valid,"Local detection survived projection, serve, side, and transition plausibility checks.",yes,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_013,13,hit,forehand_topspin_adjusted,657,659,658,658,1651.5,1194.0,78.514,546.267,near_mid_left,mid,left,resolved,local_ball_detection,high,0.7407,projected,suspicious,wrong_side_likely,"Projected to near court side, but sequence expects far for this rally event.",no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_014,14,bounce,,722,722,722,722,1273.5,1587.0,33.574,730.116,near_deep_left,deep,left,resolved,local_ball_detection,high,0.7905,projected,suspicious,impossible_hit_bounce_transition,Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce.,no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_015,15,hit,inside_out_forehand_topspin,762,762,762,762,2778.0,910.5,322.464,348.801,far_short_right,short,right,resolved,local_ball_detection,high,0.7683,projected,suspicious,wrong_side_likely,"Projected to far court side, but sequence expects near for this rally event.",no,yes,Resolved from local hybrid candidate search near manual event timing.
manual_full_rally_016,16,bounce,,809,811,810,810,2551.5,696.0,281.537,166.228,far_mid_right,mid,right,resolved,local_ball_detection,high,0.7633,projected,suspicious,impossible_hit_bounce_transition,Hit-to-bounce pair stays on far side; expected the ball to cross the net before the next bounce.,no,yes,Resolved from local hybrid candidate search near manual event timing.
